model_id,n_features_all,n_features_selected,model_type,score_type,score_valid_mean,score_test
XBROSBEMJY4PXF2F,392,36,HuberRegressor,mean_squared_error,0.08819619992516729,0.10355512196836789
SPHIJVVE3826ED4A,392,39,BayesianRidge,mean_squared_error,0.08527408486094294,0.1128532256330141
YOWG69V5DLX35BOI,392,12,ARDRegression,mean_squared_error,0.08898245908274936,0.10516051346933927
YJUQDADF1KHJ2WYN,392,36,LassoLarsIC,mean_squared_error,0.09049800214314155,0.09830915668462684
IE2TNPAOBY934O78,392,46,ARDRegression,mean_squared_error,0.08376312451722955,0.11822025237779772
N2Y9IFT9GFY6YDRB,392,44,BayesianRidge,mean_squared_error,0.08964607115842875,0.09990387059349462
H4ASV78XX14NNX8M,392,11,LinearRegression,mean_squared_error,0.09025948945632542,0.10097752055433692
AMM5H71K2YV7M23T,392,21,LassoLarsIC,mean_squared_error,0.0897140577338261,0.09773989513690076
LJOT41GGWRYAZE4Z,392,38,BayesianRidge,mean_squared_error,0.08919835094512821,0.10269388244565611
W6JWE8CA4ZNJTMWJ,392,12,RANSACRegressor,mean_squared_error,0.08627655013479213,0.11793922673807829
WAE12RTJLGQJNOTV,392,7,LassoLarsIC,mean_squared_error,0.09091531008175588,0.09323543069565747
LRFZSW36XUBPU4NM,392,46,Ridge,mean_squared_error,0.08746858644987998,0.10419162190123335
GHKCHYAM2L9Y68J9,392,41,ARDRegression,mean_squared_error,0.09075659810086924,0.09877848359139303
ONDOF0HBYPTJ38QX,392,26,Lasso,mean_squared_error,0.08723595804545323,0.10660904706890242
BTQ3WFLGZ9TUNX9K,392,22,ElasticNet,mean_squared_error,0.08908121496417239,0.1031082381645835
6L8OF8V88B20KJEA,392,37,ARDRegression,mean_squared_error,0.08716179814242667,0.10716295945414438
C3YHVBY4T30NNYZO,392,19,ARDRegression,mean_squared_error,0.08725220672509246,0.1086827270081316
7PUS938B1LIAA42M,392,6,RANSACRegressor,mean_squared_error,0.08949424318379555,0.10197202707291438
H6FZVP74AC7SDV7C,392,48,Ridge,mean_squared_error,0.08454556282878072,0.12774165381570984
XKGW3WVWHLZFL6WZ,392,19,HuberRegressor,mean_squared_error,0.08901102770308421,0.1036934736924151
RFCIG2O4H51LW17H,392,23,LassoLarsIC,mean_squared_error,0.08848148057444938,0.10666099738559458
8SERPNB8FJ4F5Z3A,392,14,HuberRegressor,mean_squared_error,0.08735261616965376,0.10612304262482435
NAFCUCIZJZTZXPYH,392,36,BayesianRidge,mean_squared_error,0.08426683990674208,0.12034942817384402
DEWHLYDCSM6BFUJY,392,49,Lasso,mean_squared_error,0.08722170553843385,0.10928122944674563
DKFQKHDKJZELLZJM,392,50,LinearRegression,mean_squared_error,0.09131728098410401,0.09701134417750296
MG6HOWLAZBWVD0SL,392,11,BayesianRidge,mean_squared_error,0.086841909883093,0.10699716780168825
NDPM858YWVJ1A76I,392,25,LassoLarsIC,mean_squared_error,0.09120156242863922,0.09244571258270791
8M3G2X5PJLV4ZGJ2,392,31,Lasso,mean_squared_error,0.08788577686290941,0.10415932534529901
XPSDXAGXTKST3G2W,392,35,LassoLarsIC,mean_squared_error,0.08853740328053324,0.10557945837763712
9YTL2WTW9E19THT0,392,41,HuberRegressor,mean_squared_error,0.08864344363900663,0.10427237749699039
Q5MNYPV3JL5QQ3LE,392,30,BayesianRidge,mean_squared_error,0.09012251097311495,0.09969391072074155
U2ATO9XOOQ0Q2PZX,392,8,ARDRegression,mean_squared_error,0.08746095666109463,0.10405091392576322
BF9HXM4L59U3YHCA,392,21,Lasso,mean_squared_error,0.08887621787943886,0.10113320079698433
THA66WR11M9GP9C5,392,39,HuberRegressor,mean_squared_error,0.0851621411212798,0.11431236065167061
77WA5NIZ6UFX0QK0,392,39,LassoLarsIC,mean_squared_error,0.09020024047421955,0.10587442701768905
66BSTSUUQ47X48HK,392,8,RANSACRegressor,mean_squared_error,0.09035595864490682,0.09502289687911192
CY548TTMKFJ1AT7P,392,14,BayesianRidge,mean_squared_error,0.08813023298046314,0.10834861950900274
143942ZV7BWHKTNY,392,9,LinearRegression,mean_squared_error,0.08755417073165876,0.10527816963881323
5T8RIJKE4HT8SDBT,392,22,Ridge,mean_squared_error,0.09059526216846023,0.09976028125128385
IZGJ6L989L10VC22,392,18,HuberRegressor,mean_squared_error,0.08921129988903975,0.10181674856301264
WHWFMPRFSLC58NDI,392,38,BayesianRidge,mean_squared_error,0.08849620775321024,0.10252669328330088
6YJNVQBXK1G7NTUE,392,45,BayesianRidge,mean_squared_error,0.08439289016889473,0.1176272008798008
W8MA176RYOM3EH2P,392,12,ARDRegression,mean_squared_error,0.08608107728583063,0.11051359464728927
LIUPHOY09YUITHN5,392,22,RANSACRegressor,mean_squared_error,0.08323474248643957,0.12657077771513925
V6A7USO8JQW1IFLR,392,15,HuberRegressor,mean_squared_error,0.09064804572092594,0.10144752973399988
WHITV3OJV92TB5KZ,392,9,BayesianRidge,mean_squared_error,0.08739780974040043,0.10685997202513678
JQ64EOOHPUJUFJ01,392,48,ARDRegression,mean_squared_error,0.08720871222187628,0.10663952475678218
HPV3BQXBQV1ETC8W,392,19,LassoLars,mean_squared_error,0.08751815776305337,0.10471636737545391
B2HVURAU8C5DQJWP,392,5,LassoLarsIC,mean_squared_error,0.08773333781682828,0.10623419066527015
IHTZC8ARF9A4MFHA,392,24,ARDRegression,mean_squared_error,0.08618585110479315,0.11417232541299147
P3JZKXJS9MTGCCJQ,392,47,HuberRegressor,mean_squared_error,0.08953121219143148,0.1036330021078721
VBNXHUP11SAJJ8Y1,392,21,BayesianRidge,mean_squared_error,0.08518447056158757,0.11830297886616967
SLR20C3Y9F3BLCBF,392,10,RANSACRegressor,mean_squared_error,0.08852422154146011,0.10808208410374243
IQKQWO1UT3QUUWFQ,392,5,ARDRegression,mean_squared_error,0.09239544573119171,0.08203039349355051
WNG0G8DMZOY3W1AR,392,23,ARDRegression,mean_squared_error,0.08893416050490274,0.10119959094624156
JC7TCRUWJU0FD049,392,17,ARDRegression,mean_squared_error,0.09131611747765692,0.09251837408630743
W95UK8IZWQF3UH8T,392,28,Lasso,mean_squared_error,0.09055410439936273,0.09674805580503472
8WM4B85NGBYYGZY1,392,36,ARDRegression,mean_squared_error,0.08559991420505608,0.11496729496186789
IXVLLYVL3T3LJC6L,392,25,ARDRegression,mean_squared_error,0.08568634219643245,0.11511408075476952
8NVBXN27AUKKPMOG,392,43,ARDRegression,mean_squared_error,0.08788936579470696,0.10767282318028312
5ONNSPQ1GGRNVZ5U,392,43,HuberRegressor,mean_squared_error,0.09092343972341746,0.09543097547849759
6TV1HXYI76OZ3KDT,392,29,RANSACRegressor,mean_squared_error,0.08552667326469977,0.12651728550768598
HN5M7GUXKUW15KDL,392,46,RANSACRegressor,mean_squared_error,0.09269972348554753,0.1012381642308392
OGIHC6MNR1AZRNA6,392,5,RANSACRegressor,mean_squared_error,0.08446874612985658,0.11657593105183292
GAVDA594OZ9VUUT9,392,35,LassoLarsIC,mean_squared_error,0.08541786716288027,0.11775019084027642
E7SLW1O7582XH5J5,392,9,ARDRegression,mean_squared_error,0.09061003577524428,0.09150643407148074
T6E8R2FM2WPLOZ9K,392,34,LassoLarsIC,mean_squared_error,0.08845894226494934,0.11065820251861655
VA35ED6L39C77UYY,392,31,LassoLarsIC,mean_squared_error,0.08684848022378197,0.1081491627687902
MGZSU3HYJ5IV4O86,392,35,ARDRegression,mean_squared_error,0.09088698881931645,0.09327022505671331
89YXUUXMCJJBOSQF,392,37,Lasso,mean_squared_error,0.08845114027261894,0.10334308556332839
GRHB2D4XDLI3LU57,392,33,BayesianRidge,mean_squared_error,0.08736209683815868,0.10809811677794864
YVTBTWJE8NUQ5U1E,392,18,ElasticNet,mean_squared_error,0.09002101748626053,0.09616524856043442
Y3Q6NH40Q6GRF4RB,392,17,RANSACRegressor,mean_squared_error,0.0904773602993069,0.10020009261219176
MAAH2FHSC311FZ64,392,48,LassoLarsIC,mean_squared_error,0.08721530495378413,0.10826440445979454
JDFEJABFPLYG0FV7,392,47,HuberRegressor,mean_squared_error,0.08890264553341312,0.10488886218969282
0YRJ4LKR98YATCCF,392,18,LassoLarsIC,mean_squared_error,0.08275096522836621,0.12747337799273603
9N0DCW14KPU7R0VI,392,5,RANSACRegressor,mean_squared_error,0.08906299018125834,0.09921380501729513
72ZFVSJUMJ4IZN5H,392,9,PassiveAggressiveRegressor,mean_squared_error,0.08686516455571172,0.1128989331691781
RYGMPXKX3BHNXWPD,392,32,ElasticNet,mean_squared_error,0.08676278005813175,0.11532750731525417
XRTTUWFWCUSX1HO6,392,16,LinearRegression,mean_squared_error,0.08999399531049651,0.10046091347211225
NCUS0XFQ3RA71MAD,392,16,HuberRegressor,mean_squared_error,0.0887043642787455,0.10762302147172749
EJXBKIK698GNUWKV,392,29,ARDRegression,mean_squared_error,0.0906374561784445,0.09988710336464064
5BHO49BEVLA48JAC,392,39,BayesianRidge,mean_squared_error,0.08705665786730243,0.11192086846189757
BTOGGKKJAZULYY1K,392,17,RANSACRegressor,mean_squared_error,0.0887942937150958,0.10163541008225283
WZ7ZW0YBBZDHPT2D,392,7,RANSACRegressor,mean_squared_error,0.08752855576266827,0.10946584988730583
1QWPRXVHIFC240ZU,392,41,ElasticNet,mean_squared_error,0.08843834177203017,0.10455335828681216
ZKCM0HJ9J4LOVUJE,392,33,Lasso,mean_squared_error,0.08471521345718414,0.11426238720748357
IT77HF7X6OSSROX0,392,36,ARDRegression,mean_squared_error,0.08639475216346534,0.10913288301410269
NCGMN1RWNM34IR24,392,38,LinearRegression,mean_squared_error,0.09112189878403595,0.09678512008062458
8XCRYV27LXEOW1C8,392,20,BayesianRidge,mean_squared_error,0.08742920251943842,0.11130768140218002
PTB8AOBLL32IK9M3,392,9,RANSACRegressor,mean_squared_error,0.088303026951608,0.10264622225686966
X6TAWJ0P3EU194MF,392,24,Lasso,mean_squared_error,0.08662371824373423,0.1097043907042666
MVJZV05I7WWXTTZZ,392,11,HuberRegressor,mean_squared_error,0.08933164911386116,0.0964319045256555
3JPIJLGAT4G5W6W3,392,10,ElasticNet,mean_squared_error,0.08520868047349757,0.11694321643155274
8EVGCIOEA8O37TRL,392,22,BayesianRidge,mean_squared_error,0.08598722701044256,0.12206993227343502
LPJDOLBG6SMDVZHO,392,43,LinearRegression,mean_squared_error,0.08662750789730085,0.11595471710283071
1NTCAX9QXRHXOEVE,392,20,HuberRegressor,mean_squared_error,0.0817966604242449,0.1278654078130712
86LK9RZEMW5Z33LJ,392,22,LinearRegression,mean_squared_error,0.0860043605564906,0.11346347134290657
W4X1N3WFK5NJLZM0,392,33,BayesianRidge,mean_squared_error,0.0868785225847565,0.10881061769596648
VOT1C127J3WDMNG7,392,14,RANSACRegressor,mean_squared_error,0.09165341126026434,0.10006468097063137
VXB3YGH2I45LKH7Y,392,40,ARDRegression,mean_squared_error,0.0863000728181237,0.11813148100980767
6ICCQFJ7Q2P6SHM2,392,18,LinearRegression,mean_squared_error,0.08644399095043925,0.10786441006630028
LIS6VDPWCBCJTDJL,392,12,HuberRegressor,mean_squared_error,0.08589280483285286,0.11373655318155443
I71EYUHSCNYJ34IG,392,34,BayesianRidge,mean_squared_error,0.08925920574532109,0.10223673960423565
W7Y0IVWQRL5WWZSB,392,28,ARDRegression,mean_squared_error,0.0863680771056555,0.11088307904574815
4Z68QM83Q5XTKX9H,392,42,LassoLars,mean_squared_error,0.08800788344870382,0.10677805933074902
JG4FV95ZBKHGFOJL,392,22,ARDRegression,mean_squared_error,0.0892462333051238,0.10115715591986026
4MZ7YW8Y4JECX7X0,392,46,PassiveAggressiveRegressor,mean_squared_error,0.08592722077158521,0.11510095963813967
8ACV2T3F7K9PLVCQ,392,22,ARDRegression,mean_squared_error,0.08735135691603588,0.10566914097088513
DY27XX8O911NE4DK,392,12,RANSACRegressor,mean_squared_error,0.08858611477815866,0.11209808045802597
KI93BLMKMXVUIQO6,392,15,BayesianRidge,mean_squared_error,0.08866563972671174,0.09904105432658294
LE66NO8HY988PWQW,392,16,HuberRegressor,mean_squared_error,0.08645807592633205,0.10815381324894471
HSBASTM3Y9Y3G220,392,28,LassoLars,mean_squared_error,0.08939303972389144,0.10641485258362324
69A579O0ZL8YOJDP,392,22,ARDRegression,mean_squared_error,0.08916058071144788,0.0988926199789137
U5QA8ND7J9GCI2HL,392,12,Lasso,mean_squared_error,0.09095730541387376,0.09739731347427395
LOM3L931UXDB2OQC,392,5,HuberRegressor,mean_squared_error,0.0908798583908064,0.09777488346634568
QB7DGOI4V0N4MENS,392,43,LassoLars,mean_squared_error,0.0856688897912298,0.11007416958609229
GE47Y4W7L8F8C0HB,392,33,ARDRegression,mean_squared_error,0.08626947966384833,0.10827909289536061
437X26AIJUDGF61U,392,24,ARDRegression,mean_squared_error,0.09123855338767961,0.09297710086355945
MPLX2QNXMAXP6HF9,392,23,Lasso,mean_squared_error,0.09060347782048898,0.09969750807323371
QC1BQ7H9YUJ8MQYW,392,49,ARDRegression,mean_squared_error,0.08741691745443149,0.10980861570640665
STWCWWZVHODZHC48,392,35,ARDRegression,mean_squared_error,0.09001071512550883,14.460503272476576
742T8L01FVWG3K5A,392,23,ARDRegression,mean_squared_error,0.08833307844880693,0.10324630796879827
UJT7KGVOAT6UUV2G,392,24,ARDRegression,mean_squared_error,0.08526330519235334,0.11283087919395081
RT31CS9LK011ANJU,392,22,LinearRegression,mean_squared_error,0.09045497115540094,0.0986681461037633
5U638VQ3YK8D3ZVD,392,30,BayesianRidge,mean_squared_error,0.09056305253834879,0.09859961558925354
KH510N0YSIPON5YZ,392,42,Lasso,mean_squared_error,0.08980563087027278,0.10687416891625814
6ZAIR2RIJTMLI9MN,392,13,BayesianRidge,mean_squared_error,0.0872807574479674,0.10913141920341925
9IPCX8XQ232UF99Z,392,28,ARDRegression,mean_squared_error,0.08946834214966007,0.09916094615798278
OMWKLOBOGVCRVSSU,392,26,ARDRegression,mean_squared_error,0.08555080261430041,0.11157407272002069
UTDG96FWNORVDS5Q,392,38,HuberRegressor,mean_squared_error,0.08645248370082075,0.1132661350874741
HROKA7T2VEEEY2LE,392,35,Ridge,mean_squared_error,0.08993999363244565,0.09977958761332016
Q8JDWL2WOJ46JBVI,392,22,LassoLarsIC,mean_squared_error,0.08449306943663895,0.11997701196686265
29TESZKGJ10S6BYS,392,42,BayesianRidge,mean_squared_error,0.08798691256696548,0.10760121487024273
I13Q6Y29R7VJEX5F,392,39,HuberRegressor,mean_squared_error,0.08702811984424526,0.11128234195481268
9MN2AMYSXQWHCSN8,392,46,ARDRegression,mean_squared_error,0.08988196999503104,14.178550878715992
K0E93CXT6GC89MYX,392,21,BayesianRidge,mean_squared_error,0.08950989989059063,0.09646080275523754
XJFWDWCOT75K9KD0,392,29,LassoLars,mean_squared_error,0.0872927091579351,0.10827180967662675
VLR4MI18GHQ1IMPL,392,6,ARDRegression,mean_squared_error,0.09257802760870902,0.08408061365126006
Y43LZYOZD2N0HUL8,392,19,PassiveAggressiveRegressor,mean_squared_error,0.09109552084173017,0.10071941405014213
OH2T9GIKBD0SNHQT,392,43,BayesianRidge,mean_squared_error,0.08706922017298593,0.11047891980639273
NL7HOH9K4ZRS4FGG,392,7,ARDRegression,mean_squared_error,0.08702916225927045,0.10854509140480953
KALF2NTNJ0NBHEJM,392,37,HuberRegressor,mean_squared_error,0.09042693321102355,0.1021649225651808
X6MP7QKEH8TLOEJ1,392,41,HuberRegressor,mean_squared_error,0.08970341661297046,0.10311700685639986
5NFOYL0CZWH5NLZQ,392,32,BayesianRidge,mean_squared_error,0.08827965756203583,0.10497249903640812
20QVYAQ6YOVB1KFQ,392,12,ARDRegression,mean_squared_error,0.08419726436980662,0.11887670421990823
7Y7XH6BX5R7YVJ1V,392,6,RANSACRegressor,mean_squared_error,0.0884761240237569,0.10476180261235779
93HDC3WVW4ZR4OE5,392,12,Ridge,mean_squared_error,0.08639503697781827,0.11559248434596166
PMFYED8WQ5XNGLL3,392,26,HuberRegressor,mean_squared_error,0.08668083689590164,0.11629293710872357
43VT0F5WXLOSJBEA,392,25,BayesianRidge,mean_squared_error,0.08600952162810138,0.1088577420042478
2BRUG2ST5WB71JF5,392,39,ARDRegression,mean_squared_error,0.08369377778043817,0.11941077971369914
4ZDSR4PCNCR848F9,392,23,ElasticNet,mean_squared_error,0.08592538751932736,0.11335526912606195
0J5LLUNN0IWITXW0,392,37,LassoLarsIC,mean_squared_error,0.08888696419254867,0.10241031946239468
GH5ICQV4APPAZO2I,392,30,ARDRegression,mean_squared_error,0.08587266717630967,0.11375127103726301
JE5PHHFYRYZLF33F,392,44,ARDRegression,mean_squared_error,0.08886411170700449,0.10081962569179462
G5HCMYZIOPZXSNSY,392,38,HuberRegressor,mean_squared_error,0.08870588934071902,0.10800088297396666
NDVRE341KCT0FHPL,392,10,RANSACRegressor,mean_squared_error,0.09013296084425335,0.0987044550346501
6PY90Q6WQPUP3WGM,392,27,BayesianRidge,mean_squared_error,0.08755565009354885,0.10692378325954188
0YFK8U7AKZR7L884,392,50,LassoLarsIC,mean_squared_error,0.09121288023903565,0.10063619105264052
Q3IPV4SBVQUHZM34,392,48,ARDRegression,mean_squared_error,0.08665320540389218,0.1120294347001154
8I6WF1JEY56JL9O3,392,26,Lasso,mean_squared_error,0.08614362064408665,0.10993484308464589
OLSK9NPB7WVGSR17,392,33,BayesianRidge,mean_squared_error,0.08903579258687579,0.100261685410439
BOOPYWHKNJYUXHUT,392,32,LassoLarsIC,mean_squared_error,0.08567337549844922,0.11897551266377593
1QE1OM3GUGR685Z1,392,13,LinearRegression,mean_squared_error,0.08996121160627622,0.09761954273382488
T4Y0K7BNXTTVXOMD,392,45,LassoLars,mean_squared_error,0.09110263228097092,0.09285508491559018
AHC0PSZCB2592GQ0,392,39,Ridge,mean_squared_error,0.08340472556481067,0.12319213327422392
YU0H0J7UYVHGC21Y,392,19,RANSACRegressor,mean_squared_error,0.08896617111100386,0.10573324671138189
A5NRLMJX3OVR6OJS,392,33,ARDRegression,mean_squared_error,0.0868406686077505,0.11520833348654339
L2LA2WLKYGHPI5RZ,392,6,LassoLarsIC,mean_squared_error,0.09181467525773576,0.09330324070439475
U791RUNWIO9OE7W3,392,47,LassoLarsIC,mean_squared_error,0.08662925311669192,0.11012625027687709
7GN3NNFY684HRHUV,392,32,LinearRegression,mean_squared_error,0.0894665062459491,0.10866478433336975
LNJYMC5QX31ZB1NB,392,50,ElasticNet,mean_squared_error,0.08978914772446762,0.09622353024285916
V93C065G7G2KKE0X,392,45,LassoLarsIC,mean_squared_error,0.08851767210250862,0.10220583939876522
Z0IQBKU8VCJOS7XQ,392,37,BayesianRidge,mean_squared_error,0.08812853167611806,0.10827085939323497
9HKSQ31C6558FTCU,392,8,LassoLarsIC,mean_squared_error,0.08589438573441058,0.11055398656230349
CLD8DVP0YYZD0L8P,392,41,LassoLarsIC,mean_squared_error,0.08769355294118404,0.10578487903147485
BXY2C1X1S13S3LN9,392,50,LassoLarsIC,mean_squared_error,0.08980607736196783,0.09915676728653194
4T6UQ4M9QGI6KF9L,392,21,RANSACRegressor,mean_squared_error,0.09132037922957552,0.09292029846985768
SM8FZSFEYDAZSYU6,392,10,HuberRegressor,mean_squared_error,0.09131950573715286,0.09468267847784764
54LGF1F2O75W3I2T,392,11,ARDRegression,mean_squared_error,0.08494260526875472,0.11387210782596738
7ECH8HSAG8XUVBA9,392,38,TweedieRegressor,mean_squared_error,0.08911143141620498,0.0979857374875708
S3Q5J4WVENIG12UW,392,25,HuberRegressor,mean_squared_error,0.08681215158994135,0.11017485554193222
6KYKEYF8YLFOUK1Q,392,13,Ridge,mean_squared_error,0.09150936345788489,0.09232728502481319
R7OM25R83IOO6GKW,392,35,LinearRegression,mean_squared_error,0.08746393796258337,0.12357253084045516
921U4RHR198Y3CAO,392,11,RANSACRegressor,mean_squared_error,0.08748735639402583,0.11244069703351711
XTNN75ZWOO306WX3,392,45,LinearRegression,mean_squared_error,0.08895618760851054,0.10801153179974496
30GJ4JUVXPT7680R,392,13,LassoLarsIC,mean_squared_error,0.09098055129115369,0.0937873984900959
14LVS8OQ0FURDEE8,392,49,LassoLars,mean_squared_error,0.08924777161685347,0.09925210714089808
122FP51ZCIPTN9IJ,392,36,LassoLars,mean_squared_error,0.08984069540441196,0.10111223609748228
6RGIGJ48MBG3V939,392,49,ElasticNet,mean_squared_error,0.09066382144639354,0.09669399147213295
