model_id,n_features_all,n_features_selected,model_type,score_type,score_valid_mean,score_test
RW6RUPRANRR5WP7R,392,14,LassoLarsIC,mean_squared_error,0.08795094633451678,0.10381276409823278
2MAM74L2HYMUAQXF,392,14,ARDRegression,mean_squared_error,0.08769875534017839,0.11075219600635947
Q0QLBZAGACRGWK1D,392,14,ARDRegression,mean_squared_error,0.086344064749958,13.609537153490606
QXX7KXKP78MLWYP5,392,14,HuberRegressor,mean_squared_error,0.08738991838640309,0.10584970354587628
4C3CAY8OAO3MZSQX,392,14,LinearRegression,mean_squared_error,0.08731323452965072,0.10759972805927993
OFQQUR727F8LLX31,392,14,ARDRegression,mean_squared_error,0.08397270247980058,0.12244278533539202
U8TYLTRZTMJRKOSO,392,14,BayesianRidge,mean_squared_error,0.0892836805644814,0.10094098394537157
YA9OWKGEIJZK5483,392,14,LinearRegression,mean_squared_error,0.09014642237612867,0.09332589845421768
F175UGLKCXWU0AOR,392,14,HuberRegressor,mean_squared_error,0.08390976990318848,0.11543402094931302
3B0R1YTR4GSK37DP,392,14,LassoLars,mean_squared_error,0.08544180341080165,0.11523955235249725
071Y7M7VLIGC9KS7,392,14,BayesianRidge,mean_squared_error,0.08503014885153808,0.11404979418480225
I09N4P7UIFW8EVNJ,392,14,Lasso,mean_squared_error,0.08648657354652628,0.10950937525852197
FMPP3CEPT2BTTZUX,392,14,LinearRegression,mean_squared_error,0.08946766190226889,0.09686850270120885
JI7XXP1YVDJOF6MC,392,14,HuberRegressor,mean_squared_error,0.09004332587666301,0.09270540389753604
6O3L23OWI9GN6W9X,392,14,LinearRegression,mean_squared_error,0.08827005120278614,0.10556243936102941
MJ0ESB6NUUOB54AC,392,14,ARDRegression,mean_squared_error,0.09168346615970713,13.380017891069041
V82TO0VVM1ZQPF0K,392,14,Ridge,mean_squared_error,0.0889222381411837,0.09683692103460897
2PEYA4YWVEXWEJQS,392,14,LinearRegression,mean_squared_error,0.08792388013044539,0.10316632349789381
U4U9R31AG4864ESB,392,14,LinearRegression,mean_squared_error,0.08417241080060407,0.11590372071241901
ZV6R8F6QE3K82793,392,14,BayesianRidge,mean_squared_error,0.086400055764246,0.11200680622741295
JMG9F24TV4X111CJ,392,14,ARDRegression,mean_squared_error,0.08978374268359239,0.09953728552101847
MA3J2EZLUFYAXLEJ,392,14,LinearRegression,mean_squared_error,0.0878262274230554,0.11211789956567439
K4BOXU5M111HY3J0,392,14,LassoLarsIC,mean_squared_error,0.0900557770915417,0.09257746386628116
7ZJ1QAHQ8ED1JPKA,392,14,BayesianRidge,mean_squared_error,0.09042418860145854,0.09332957092028066
6MDNKKG432ZMNPW8,392,14,BayesianRidge,mean_squared_error,0.08819745865103683,0.10042644405641896
58UK5KFAQNLA8NY1,392,14,BayesianRidge,mean_squared_error,0.08888688904001556,0.10109671594905804
9S03R56ZD5O9CFGU,392,14,LinearRegression,mean_squared_error,0.08707807379317704,0.11567835823498998
4ICFCDT79CZH1ZG1,392,14,LinearRegression,mean_squared_error,0.09051751965821517,0.09960396324812348
X4NBEQXWZ4NOM0RT,392,14,HuberRegressor,mean_squared_error,0.0903305916920217,0.0933928148635018
9COUSFCHS8T98N4J,392,14,LinearRegression,mean_squared_error,0.08864710033996406,0.10185891845070998
QXZ30U3OF39XB7FH,392,14,BayesianRidge,mean_squared_error,0.08989681753491086,0.10151373258884729
FIT7J208D8RNTK6R,392,14,LassoLarsIC,mean_squared_error,0.09042503144680145,0.09546475672028795
2DD9LOCXGKP3F22A,392,14,LassoLarsIC,mean_squared_error,0.09011309743269226,0.09470009825364756
AEMUWMFGZRM6RM9H,392,14,BayesianRidge,mean_squared_error,0.08670875380491597,0.11012732527827991
AMZ7H88AJATSYPY2,392,14,LinearRegression,mean_squared_error,0.08881985590851005,0.10241440035479257
CL05KMYDOTMZ31LD,392,14,HuberRegressor,mean_squared_error,0.08798966143745654,0.10437965363783006
H3AR68VHW6CGSLLZ,392,14,ARDRegression,mean_squared_error,0.09135210230255007,0.09293768893074844
XNFYJ5OI2QE7U4FL,392,14,HuberRegressor,mean_squared_error,0.09006169504991487,0.09902002911967642
ZTDWT82G7ZP5MIQS,392,14,ARDRegression,mean_squared_error,0.08894940833090947,14.493483011505578
6DF5IAICNFSN890V,392,14,BayesianRidge,mean_squared_error,0.08754916761687224,0.1067446430543865
XKGKSRLQLQZGG4EI,392,14,BayesianRidge,mean_squared_error,0.08576274088551901,0.11230981844861039
GAGIETURPOY4LR5J,392,14,LinearRegression,mean_squared_error,0.0888333751831675,0.10018435773301984
CF36ULSPWVAZ2OI0,392,14,BayesianRidge,mean_squared_error,0.08685824847543204,0.11084343571373108
416NWN2KFWNRIR6O,392,14,LassoLars,mean_squared_error,0.08714136228800749,0.10827395729770503
GUGUEX6M9J0BY65C,392,14,HuberRegressor,mean_squared_error,0.08985339869597983,0.09587509348589549
71EY4DYXH72O0QWY,392,14,LassoLarsIC,mean_squared_error,0.08906960768302051,0.09676027860832213
3DFYGCQCF2Q27R1F,392,14,LinearRegression,mean_squared_error,0.09144494457819047,0.09805581482298426
UUB6SNYGXY30QPF8,392,14,LassoLarsIC,mean_squared_error,0.08727818834681861,0.10976127496443386
O5Y08QIUTMSUBCHW,392,14,LassoLars,mean_squared_error,0.0863400612844356,0.11131416352517273
94S5LNT2X6I5DFYQ,392,14,LassoLarsIC,mean_squared_error,0.08522149343626298,0.11348713051541726
RQV2MFO5WGMCCPID,392,14,LassoLarsIC,mean_squared_error,0.0882159570623897,0.10269988577836422
ISU30HJJVF5NLC56,392,14,Lasso,mean_squared_error,0.09111584316285223,0.0966294992311156
KIQSGKTI4F9VP2X6,392,14,HuberRegressor,mean_squared_error,0.08919134905226812,0.10323913872790418
H2245KBMI6WWREMN,392,14,LassoLarsIC,mean_squared_error,0.08949514258870178,0.09372368547865943
HLA7YAA9Y7WA629C,392,14,ARDRegression,mean_squared_error,0.09084072388668918,13.850345792927722
V8VEWCFL9VVJUIRW,392,14,ARDRegression,mean_squared_error,0.0873841901775366,13.76727564112871
EONID2SHKKSMOFQO,392,14,Ridge,mean_squared_error,0.08744341341218148,0.10665453939331784
Q06PYZO7D7GDMQON,392,14,HuberRegressor,mean_squared_error,0.0869858441998589,0.10889225979598893
